,game_id,date,aw_team,hm_team,hm_is_b2b,aw_is_b2b,home_total_goals,away_total_goals,home_total_shots,away_total_shots,hm_wins,away_xG,home_xG
225,2018020257.0,2018-11-11,NJD,WPG,0,0,5,2,28,36,1,1.825,1.674
226,2018020259.0,2018-11-11,COL,EDM,0,0,1,4,27,28,0,2.101,2.2088
227,2018020260.0,2018-11-12,VAN,NYR,0,0,2,1,27,26,1,1.5384,2.9173999999999998
228,2018020261.0,2018-11-12,CHI,CAR,0,0,3,2,40,35,1,2.0064,3.1448
229,2018020262.0,2018-11-12,CBJ,DAL,0,0,1,2,27,28,0,3.3494,1.6226
230,2018020263.0,2018-11-12,NSH,ANA,0,0,2,1,30,35,1,2.2244,2.7356
231,2018020264.0,2018-11-13,TBL,BUF,0,0,2,1,19,30,1,3.1978,1.4492
232,2018020265.0,2018-11-13,PIT,NJD,0,0,4,2,35,31,1,2.2366,2.2076000000000002
233,2018020267.0,2018-11-13,FLA,PHI,0,0,1,2,31,30,0,1.5488,1.2218
234,2018020268.0,2018-11-13,ARI,DET,0,0,6,1,26,25,1,1.7602,1.6196
235,2018020269.0,2018-11-13,WSH,MIN,0,0,2,5,28,33,0,1.3726,3.926
236,2018020270.0,2018-11-13,MTL,EDM,0,0,6,2,43,29,1,1.1608,3.358
237,2018020271.0,2018-11-13,TOR,LAK,0,0,1,5,23,35,0,3.1702,0.18639999999999998
238,2018020273.0,2018-11-14,STL,CHI,0,0,1,0,19,28,1,1.2332,1.3126
239,2018020274.0,2018-11-14,WSH,WPG,0,1,3,1,24,28,1,3.012,0.8816
240,2018020275.0,2018-11-14,BOS,COL,0,0,6,3,25,23,1,1.8548,2.6234
241,2018020276.0,2018-11-14,ANA,VGK,0,0,5,0,25,29,1,2.659,3.7508
242,2018020278.0,2018-11-15,NJD,PHI,0,0,0,3,29,27,0,2.1344,3.2764
243,2018020279.0,2018-11-15,TBL,PIT,0,0,3,4,31,26,0,1.2718,2.3642
244,2018020280.0,2018-11-15,FLA,CBJ,0,0,7,3,37,43,1,2.9484,2.2132
245,2018020281.0,2018-11-15,DET,OTT,0,0,2,1,36,35,1,2.8826,3.7976
246,2018020282.0,2018-11-15,VAN,MIN,0,0,6,2,29,27,1,1.1746,2.147
247,2018020284.0,2018-11-15,NSH,ARI,0,0,2,1,23,46,1,3.8448,2.0032
248,2018020286.0,2018-11-16,BOS,DAL,0,0,1,0,37,23,1,0.9192,1.6994
249,2018020287.0,2018-11-16,BUF,WPG,0,0,1,2,26,32,0,1.5519999999999998,2.4426
250,2018020288.0,2018-11-16,LAK,CHI,0,0,1,2,35,32,0,2.0822,2.2602
251,2018020289.0,2018-11-16,WSH,COL,0,0,2,3,26,29,0,2.2724,2.957
252,2018020290.0,2018-11-16,STL,VGK,0,0,1,4,33,35,0,4.2716,3.5423999999999998
253,2018020291.0,2018-11-16,TOR,ANA,0,0,1,2,39,35,0,1.2414,1.9632
254,2018020292.0,2018-11-17,DET,NJD,0,0,2,3,40,30,0,2.2138,2.5141999999999998
255,2018020293.0,2018-11-17,TBL,PHI,0,0,5,6,45,26,0,1.527,3.2594
256,2018020294.0,2018-11-17,BUF,MIN,0,1,2,3,39,29,0,2.1664,2.9508
257,2018020295.0,2018-11-17,PIT,OTT,0,0,6,4,25,35,1,2.6008,2.3686000000000003
258,2018020296.0,2018-11-17,FLA,NYR,0,0,4,2,24,41,1,2.2794,1.9674
259,2018020297.0,2018-11-17,CBJ,CAR,0,0,1,4,31,24,0,3.2412,1.7018
260,2018020299.0,2018-11-17,LAK,NSH,0,1,5,3,43,28,1,3.2008,3.872
261,2018020300.0,2018-11-17,BOS,ARI,0,1,1,2,33,23,0,1.4654,1.5721999999999998
262,2018020304.0,2018-11-18,NJD,CAR,1,1,2,1,25,34,1,1.665,1.6858
263,2018020305.0,2018-11-18,MIN,CHI,0,1,3,1,28,40,1,1.772,1.1338000000000001
264,2018020306.0,2018-11-18,VGK,EDM,0,0,3,6,32,31,0,2.9154,1.7542
265,2018020307.0,2018-11-18,COL,ANA,0,0,3,4,33,42,0,3.1608,2.0224
266,2018020308.0,2018-11-19,CBJ,TOR,0,0,4,2,26,39,1,2.8078,2.4786
267,2018020309.0,2018-11-19,DAL,NYR,0,0,2,1,23,17,1,0.6886,1.3932
268,2018020310.0,2018-11-19,BUF,PIT,0,0,4,5,40,40,0,1.9032,5.1248000000000005
269,2018020311.0,2018-11-19,WSH,MTL,0,0,4,5,44,34,0,3.284,3.2082
270,2018020312.0,2018-11-19,FLA,OTT,0,0,5,7,38,32,0,3.4947999999999997,3.571
271,2018020313.0,2018-11-19,LAK,STL,0,0,0,2,29,27,0,1.2328000000000001,2.1922
272,2018020314.0,2018-11-19,TBL,NSH,0,0,3,2,34,31,1,1.7776,3.1108000000000002
273,2018020318.0,2018-11-21,PHI,BUF,0,0,5,2,21,25,1,2.3238,1.3124
274,2018020319.0,2018-11-21,MTL,NJD,0,0,5,2,28,26,1,1.8356000000000001,3.4914
275,2018020320.0,2018-11-21,NYI,NYR,0,0,5,0,27,29,1,1.574,2.8982
276,2018020321.0,2018-11-21,DAL,PIT,0,0,5,1,30,19,1,1.5154,1.7218
